PERCENTDEFEAT,CHAMP1,TEAM,CHAMP1_POSITION,SEASON,YEAR,CHAMP2,CHAMP2_POSITION,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY
0.0,Evelynn,Blue,JUNGLER,Spring,2017,Corki,MID_LANER,1,0,1,1.0
1.0,Nidalee,Red,JUNGLER,Spring,2017,Leblanc,MID_LANER,0,1,1,0.0
1,Vayne,Blue,AD_CARRY,Spring,2016,Trundle,SUPPORT,0,2,2,0
0,JarvanIV,Red,AD_CARRY,Summer,2017,Thresh,SUPPORT,6,13,19,0
0,Jhin,Blue,AD_CARRY,Summer,2017,Zyra,SUPPORT,2,8,10,0
1.0,Evelynn,Blue,JUNGLER,Summer,2015,Shen,SUPPORT,0,1,1,0.0
0.0,Hecarim,Blue,TOP_LANER,Spring,2016,Gragas,JUNGLER,1,0,1,1.0
0,RekSai,Red,JUNGLER,Summer,2015,Ryze,MID_LANER,1,1,2,0
0,RekSai,Red,JUNGLER,Summer,2015,Fizz,MID_LANER,2,1,3,0
0.0,Jax,Blue,JUNGLER,Summer,2017,Viktor,MID_LANER,1,0,1,1.0
0,LeeSin,Red,JUNGLER,Summer,2017,Ahri,MID_LANER,2,8,10,0
0,Elise,Red,AD_CARRY,Spring,2018,Alistar,SUPPORT,1,1,2,0
1.0,Graves,Red,JUNGLER,Summer,2016,AurelionSol,MID_LANER,0,1,1,0.0
0,Shen,Red,TOP_LANER,Spring,2016,RekSai,JUNGLER,3,4,7,0
1.0,Elise,Blue,JUNGLER,Spring,2016,Katarina,MID_LANER,0,1,1,0.0
0,Graves,Red,AD_CARRY,Summer,2017,Alistar,SUPPORT,1,1,2,0
0.0,Graves,Red,JUNGLER,Summer,2017,Zed,MID_LANER,1,0,1,1.0
0,Ashe,Red,AD_CARRY,Summer,2017,Brand,SUPPORT,1,1,2,0
0,Rumble,Red,TOP_LANER,Summer,2014,Khazix,JUNGLER,3,5,8,0
0.0,Evelynn,Blue,JUNGLER,Spring,2017,Braum,SUPPORT,1,0,1,1.0
1.0,Kalista,Red,AD_CARRY,Spring,2015,Irelia,SUPPORT,0,1,1,0.0
0,Elise,Blue,JUNGLER,Spring,2016,Braum,SUPPORT,15,31,46,0
0,RekSai,Blue,JUNGLER,Summer,2015,Nautilus,SUPPORT,11,12,23,0
0,Lucian,Red,AD_CARRY,Summer,2017,Lulu,SUPPORT,1,1,2,0
0,RekSai,Red,AD_CARRY,Spring,2016,Alistar,SUPPORT,16,17,33,0
1.0,Urgot,Blue,AD_CARRY,Spring,2015,Leona,SUPPORT,0,1,1,0.0
1.0,Jinx,Red,AD_CARRY,Summer,2014,Blitzcrank,SUPPORT,0,1,1,0.0
0,Nidalee,Blue,JUNGLER,Spring,2016,TwistedFate,MID_LANER,3,1,4,0
0,Chogath,Blue,TOP_LANER,Summer,2017,Gragas,JUNGLER,17,10,27,0
1.0,Nautilus,Red,AD_CARRY,Spring,2015,Janna,SUPPORT,0,1,1,0.0
0,Elise,Blue,JUNGLER,Spring,2017,Nami,SUPPORT,3,8,11,0
1.0,Graves,Red,JUNGLER,Spring,2016,Varus,MID_LANER,0,1,1,0.0
0,Ezreal,Blue,AD_CARRY,Summer,2016,Trundle,SUPPORT,2,4,6,0
0.0,Trundle,Blue,JUNGLER,Summer,2015,Braum,SUPPORT,1,0,1,1.0
0,LeeSin,Blue,JUNGLER,Spring,2015,Braum,SUPPORT,2,2,4,0
1.0,Nautilus,Blue,JUNGLER,Spring,2017,Malzahar,SUPPORT,0,1,1,0.0
0,Jinx,Red,AD_CARRY,Spring,2016,Alistar,SUPPORT,2,0,2,1
1.0,Gangplank,Red,TOP_LANER,Spring,2016,Rumble,JUNGLER,0,1,1,0.0
1.0,Olaf,Blue,JUNGLER,Summer,2017,Ekko,MID_LANER,0,1,1,0.0
1,Jayce,Red,TOP_LANER,Spring,2017,Graves,JUNGLER,0,4,4,0
0,Gragas,Blue,JUNGLER,Summer,2015,Leblanc,MID_LANER,6,4,10,0
0.0,RekSai,Blue,JUNGLER,Summer,2015,Gangplank,MID_LANER,1,0,1,1.0
0.0,Kennen,Blue,TOP_LANER,Spring,2016,Graves,JUNGLER,1,0,1,1.0
0,Poppy,Red,TOP_LANER,Summer,2016,Gragas,JUNGLER,4,3,7,0
0.0,Shen,Blue,TOP_LANER,Spring,2016,LeeSin,JUNGLER,1,0,1,1.0
0,Elise,Red,JUNGLER,Spring,2015,Orianna,MID_LANER,2,1,3,0
0,Shen,Red,TOP_LANER,Summer,2015,LeeSin,JUNGLER,4,2,6,0
1.0,Kindred,Blue,JUNGLER,Summer,2016,Morgana,SUPPORT,0,1,1,0.0
1.0,Udyr,Red,JUNGLER,Spring,2016,Zilean,MID_LANER,0,1,1,0.0
0.0,Nunu,Blue,JUNGLER,Summer,2015,Leblanc,MID_LANER,1,0,1,1.0
0,LeeSin,Blue,JUNGLER,Spring,2017,Vladimir,MID_LANER,5,3,8,0
0,Rengar,Red,JUNGLER,Summer,2017,Syndra,MID_LANER,1,3,4,0
0.0,Khazix,Blue,JUNGLER,Summer,2015,Viktor,MID_LANER,1,0,1,1.0
0,Shyvana,Blue,TOP_LANER,Summer,2015,Gragas,JUNGLER,3,1,4,0
0,Sejuani,Red,JUNGLER,Summer,2017,Corki,MID_LANER,13,19,32,0
0.0,Rumble,Blue,TOP_LANER,Summer,2016,Rengar,JUNGLER,1,0,1,1.0
0,Maokai,Red,TOP_LANER,Summer,2016,Kindred,JUNGLER,5,8,13,0
0.0,Twitch,Blue,AD_CARRY,Summer,2017,Camille,SUPPORT,1,0,1,1.0
1.0,Gragas,Red,JUNGLER,Summer,2015,Lux,MID_LANER,0,1,1,0.0
0,RekSai,Red,AD_CARRY,Summer,2015,Alistar,SUPPORT,19,26,45,0
1.0,MissFortune,Red,AD_CARRY,Summer,2017,Thresh,SUPPORT,0,1,1,0.0
0,Ezreal,Blue,AD_CARRY,Spring,2016,Poppy,SUPPORT,1,4,5,0
0,Irelia,Blue,TOP_LANER,Spring,2015,Sejuani,JUNGLER,1,3,4,0
0,Olaf,Blue,JUNGLER,Spring,2017,Vladimir,MID_LANER,1,2,3,0
0,Nunu,Red,AD_CARRY,Spring,2015,Annie,SUPPORT,2,1,3,0
0,JarvanIV,Blue,JUNGLER,Spring,2015,Viktor,MID_LANER,1,1,2,0
0,Zac,Red,AD_CARRY,Summer,2017,TahmKench,SUPPORT,1,1,2,0
0.0,Yasuo,Red,TOP_LANER,Summer,2015,Evelynn,JUNGLER,1,0,1,1.0
0.0,Jayce,Red,TOP_LANER,Spring,2018,Gragas,JUNGLER,1,0,1,1.0
1.0,LeeSin,Blue,JUNGLER,Spring,2018,Taliyah,MID_LANER,0,1,1,0.0
1.0,Ryze,Blue,TOP_LANER,Summer,2016,Olaf,JUNGLER,0,1,1,0.0
0,Kennen,Red,TOP_LANER,Summer,2017,Graves,JUNGLER,1,3,4,0
1.0,Ashe,Blue,AD_CARRY,Spring,2018,Rakan,SUPPORT,0,1,1,0.0
1,JarvanIV,Blue,JUNGLER,Spring,2018,Lulu,SUPPORT,0,2,2,0
0.0,Poppy,Red,JUNGLER,Summer,2017,Syndra,MID_LANER,1,0,1,1.0
0,Rumble,Blue,TOP_LANER,Spring,2015,RekSai,JUNGLER,12,4,16,0
0.0,Poppy,Blue,TOP_LANER,Summer,2017,Sejuani,JUNGLER,1,0,1,1.0
0,Kalista,Blue,AD_CARRY,Summer,2015,Janna,SUPPORT,6,2,8,0
0,Nidalee,Red,AD_CARRY,Spring,2015,Annie,SUPPORT,3,1,4,0
0.0,Nidalee,Blue,JUNGLER,Summer,2015,Fizz,MID_LANER,1,0,1,1.0
0,Jayce,Red,TOP_LANER,Summer,2017,Sejuani,JUNGLER,2,1,3,0
0.0,Sejuani,Red,JUNGLER,Spring,2015,KogMaw,MID_LANER,1,0,1,1.0
0,Elise,Blue,JUNGLER,Spring,2017,Ekko,MID_LANER,5,3,8,0
1.0,Elise,Blue,JUNGLER,Summer,2017,AurelionSol,MID_LANER,0,1,1,0.0
1.0,Rengar,Red,JUNGLER,Spring,2017,Fizz,MID_LANER,0,1,1,0.0
1.0,Lulu,Blue,TOP_LANER,Spring,2016,Nidalee,JUNGLER,0,1,1,0.0
1.0,RekSai,Red,JUNGLER,Summer,2016,Jayce,MID_LANER,0,1,1,0.0
1.0,Sejuani,Red,JUNGLER,Summer,2017,Xerath,MID_LANER,0,1,1,0.0
0,Caitlyn,Red,AD_CARRY,Summer,2017,Blitzcrank,SUPPORT,7,2,9,0
0,Maokai,Red,TOP_LANER,Summer,2015,Ekko,JUNGLER,8,6,14,0
0,Elise,Red,AD_CARRY,Spring,2017,Taric,SUPPORT,1,1,2,0
1.0,XinZhao,Blue,JUNGLER,Summer,2015,Thresh,SUPPORT,0,1,1,0.0
0,KogMaw,Red,AD_CARRY,Spring,2015,Nami,SUPPORT,4,5,9,0
0,Illaoi,Blue,TOP_LANER,Spring,2017,LeeSin,JUNGLER,2,1,3,0
0,Zac,Red,AD_CARRY,Summer,2017,Thresh,SUPPORT,6,7,13,0
1.0,JarvanIV,Red,JUNGLER,Summer,2016,Heimerdinger,MID_LANER,0,1,1,0.0
0,Rammus,Blue,TOP_LANER,Spring,2016,Nidalee,JUNGLER,2,1,3,0
0.0,Lucian,Blue,TOP_LANER,Summer,2017,Chogath,JUNGLER,1,0,1,1.0
1.0,LeeSin,Red,JUNGLER,Summer,2015,Karma,MID_LANER,0,1,1,0.0
0.0,Zac,Blue,JUNGLER,Spring,2018,Morgana,SUPPORT,1,0,1,1.0
0,Elise,Blue,JUNGLER,Summer,2017,Morgana,SUPPORT,5,2,7,0
0,Graves,Blue,JUNGLER,Spring,2017,Katarina,MID_LANER,2,3,5,0
1.0,Rumble,Blue,JUNGLER,Spring,2017,Malzahar,SUPPORT,0,1,1,0.0
0,Jayce,Blue,TOP_LANER,Spring,2017,Rengar,JUNGLER,2,1,3,0
0.0,Vi,Red,JUNGLER,Summer,2015,KogMaw,MID_LANER,1,0,1,1.0
0,Sejuani,Blue,JUNGLER,Summer,2017,Taliyah,MID_LANER,11,6,17,0
0.0,Varus,Blue,AD_CARRY,Summer,2017,Shen,SUPPORT,1,0,1,1.0
1.0,KogMaw,Red,AD_CARRY,Summer,2016,Alistar,SUPPORT,0,1,1,0.0
0,Graves,Blue,JUNGLER,Summer,2016,Swain,MID_LANER,3,3,6,0
0.0,Rammus,Red,TOP_LANER,Spring,2016,Rumble,JUNGLER,1,0,1,1.0
0,Elise,Blue,JUNGLER,Summer,2015,Shen,SUPPORT,8,0,8,1
0,Nidalee,Blue,JUNGLER,Spring,2015,Morgana,SUPPORT,2,1,3,0
0.0,Olaf,Blue,JUNGLER,Summer,2015,Annie,SUPPORT,1,0,1,1.0
0,RekSai,Blue,JUNGLER,Spring,2015,Ahri,MID_LANER,8,6,14,0
0.0,Maokai,Red,JUNGLER,Spring,2015,Diana,MID_LANER,1,0,1,1.0
0,Jhin,Blue,AD_CARRY,Spring,2016,Trundle,SUPPORT,1,2,3,0
1.0,Xayah,Blue,AD_CARRY,Spring,2018,Janna,SUPPORT,0,1,1,0.0
1.0,Tristana,Red,AD_CARRY,Summer,2015,Blitzcrank,SUPPORT,0,1,1,0.0
0,Ashe,Red,AD_CARRY,Spring,2016,Alistar,SUPPORT,1,5,6,0
0,Jhin,Blue,AD_CARRY,Spring,2017,Velkoz,SUPPORT,2,0,2,1
0,Ivern,Red,JUNGLER,Spring,2017,Camille,MID_LANER,1,1,2,0
0,Rengar,Blue,JUNGLER,Spring,2015,Kassadin,MID_LANER,2,1,3,0
1.0,Kindred,Red,JUNGLER,Summer,2015,Orianna,MID_LANER,0,1,1,0.0
0,LeeSin,Blue,JUNGLER,Summer,2015,Nautilus,SUPPORT,2,4,6,0
